iteration	loss	n_p	w_0	w_1	c	ID	y	mean	mean_prob	mode	mode_prob	lb	ub	capture
0	0.812	10	-1.4999327896425942	-4.998654584778968	1.9857972123088488	3GTN_B	7.3	7.164	0.327	7.0	1.545	5.229	8.659	1
1	1.0	0	-1.4999327896425942	-4.998654584778968	1.9857972123088488	3S84_B	8.5	6.8	0.311	6.8	0.311	4.693	8.908	1
2	0.875	119	-1.4999490625210714	-4.998706616158534	1.9715793731815634	5Y56_B	7.5	6.394	0.497	6.49	0.853	4.388	8.232	1
3	0.966	3	-1.4999490625210714	-4.998706616158534	1.957770321005685	3IE7_A	7.5	7.075	0.076	6.5	2.727	5.713	8.588	1
4	0.965	3	-1.4999490476575366	-4.9987065185719635	1.944237542552453	3SEN_D	6.2	7.675	0.735	8.9	1.344	5.713	8.974	1
5	0.436	1	-1.499970310956855	-4.9988889399662835	1.9308582787916884	7KSE_A	6.0	6.4	0.148	6.0	2.8	5.153	8.438	1
6	0.89	8	-1.5002697145729094	-5.000321307546801	1.915952519565429	3VFC_A	8.5	7.189	0.229	7.0	0.794	5.117	9.291	1
7	0.93	1	-1.500368586823273	-5.000604441066303	1.9024464653436362	3BGU_B	4.5	6.15	0.258	6.32	0.26	3.531	8.588	1
8	0.882	2	-1.5000253241524713	-4.998828997239013	1.8921402756850572	6BBT_B	7.3	7.767	0.474	8.0	0.543	5.463	9.612	1
9	0.998	25	-1.5000094384818021	-4.9987509533896395	1.8800302923375038	1GL3_B	4.6	7.908	0.111	8.5	1.145	5.563	8.971	0
10	0.547	6	-1.499972436179923	-4.998615458029655	1.868296530686982	7NB9_A	7.0	6.771	0.067	7.0	2.467	5.117	7.688	1
11	0.86	176	-1.5000667304836108	-4.998873826598033	1.855779487602926	6IBS_B	6.5	6.812	0.157	7.5	0.887	4.487	9.222	1
12	0.106	7	-1.5000901446910424	-4.999074613454109	1.8441514259757965	5M8O_D	7.0	6.975	4.652	7.0	4.945	6.473	7.188	1
13	0.945	236	-1.500069287805109	-4.998890995314368	1.833011823755214	3MQ9_H	5.0	6.761	0.078	7.49	0.587	4.545	8.911	1
14	0.485	691	-1.5003475638292672	-5.000743350056009	1.8201810647072774	5FDJ_A	4.5	4.905	0.172	4.53	1.683	3.393	7.614	1
15	0.906	72	-1.5003655544786159	-5.000909509883194	1.8092949757289305	4K9W_D	5.9	6.782	0.187	7.0	2.379	5.493	7.608	1
16	0.859	79	-1.5005613389898143	-5.001982612011056	1.797487767617439	1S0X_A	8.5	7.281	0.335	7.5	0.408	5.261	8.864	1
17	0.999	0	-1.5005613389898143	-5.001982612011056	1.797487767617439	7C5V_B	7.0	6.8	0.311	6.8	0.311	4.693	8.908	1
18	0.867	159	-1.5005913467627017	-5.002095733343313	1.7869411729881284	1ZUX_D	8.5	7.108	0.303	7.5	0.556	4.041	8.97	1
19	0.483	191	-1.5005390155184308	-5.00190849380039	1.777198489726021	1IEI_A	5.0	5.943	0.149	5.0	2.927	4.873	8.881	1
20	0.902	17	-1.5005624907626136	-5.001811777135767	1.766998549648807	6XLS_A	5.5	5.639	0.122	6.0	1.266	3.907	7.863	1
21	0.621	206	-1.5008446584756412	-5.003806757507575	1.7555237658074063	3X1I_B	7.4	7.663	0.435	8.0	1.558	6.553	8.744	1
22	0.872	14	-1.5012912392697333	-5.006342152354619	1.7431502223611948	3A7K_D	8.0	7.22	0.171	7.0	1.817	5.933	9.948	1
23	0.315	5	-1.5014590997092707	-5.007805771857629	1.7328813836126782	4BB9_A	7.4	7.117	0.052	7.49	3.393	5.583	7.638	1
24	0.966	3	-1.5014440569855338	-5.007682765253966	1.7239396487008873	4HQK_B	7.5	6.95	1.094	8.5	1.573	5.373	8.568	1
25	0.89	804	-1.5015299663588273	-5.007899261639232	1.7142498755341318	4AGC_A	6.25	6.927	0.252	7.99	0.305	4.314	9.26	1
26	0.887	9	-1.5013562999187688	-5.007075025210348	1.706799176486431	5JBT_Y	6.5	6.66	0.309	5.55	0.509	5.082	8.68	1
27	0.975	3	-1.50135629991873	-5.00707502521004	1.698285661998829	4JBW_P	5.6	7.575	0.065	8.5	3.163	5.713	8.598	0
28	0.915	1	-1.5012983022735369	-5.006957237716781	1.6906422010440354	3CE2_A	7.5	5.7	0.195	6.46	0.215	2.084	8.598	1
29	0.587	14	-1.501444266166464	-5.007433372363394	1.6811853827450918	4ZGR_B	7.3	7.14	0.238	7.3	2.265	4.022	9.428	1
30	0.132	101	-1.5015318471930528	-5.008187317638858	1.6726256910876032	7QVZ_A	4.2	4.43	0.011	4.2	5.087	4.024	6.458	1
31	0.793	4	-1.5015328867116	-5.008196289894552	1.6647887522489466	3GAD_F	4.6	7.18	0.063	4.6	1.29	4.547	8.578	1
32	0.212	3	-1.5015385883493304	-5.008245154548527	1.657078836493693	3G2M_B	6.5	6.575	2.428	6.5	4.742	5.713	7.878	1
33	0.5	19	-1.5016165518719937	-5.008469460162465	1.6487968550676495	6ZIC_BBB	6.0	6.645	0.154	6.0	2.991	5.083	9.552	1
34	0.992	3	-1.5016165518719937	-5.008469460162465	1.6414431187993757	2HKN_B	4.5	7.325	0.1	7.5	1.689	5.713	8.578	0
35	0.757	10	-1.5016138287744611	-5.00826652828889	1.634155517014258	5LOJ_B	5.6	6.491	0.441	5.6	1.197	4.932	8.508	1
36	0.984	328	-1.501592856793656	-5.008182748243909	1.627262859364811	1O2Y_A	9.08	6.799	0.06	7.0	0.95	4.147	8.52	0
37	0.571	149	-1.5015789180362438	-5.007949806297613	1.6204056484365554	3ZV2_A	7.5	7.473	1.881	7.49	1.967	6.608	8.478	1
38	0.999	0	-1.5015789180362438	-5.007949806297613	1.6204056484365554	3HUU_D	7.5	6.8	0.311	6.8	0.311	4.693	8.908	1
39	0.792	310	-1.5019098668465265	-5.010198336842958	1.611377960331683	6QJU_B	8.5	7.393	0.692	7.5	0.862	5.514	8.617	1
40	0.911	22	-1.5019638781858335	-5.0101736962732515	1.6041673492294357	4C9C_B	6.5	6.513	0.172	5.5	0.593	4.173	8.546	1
41	0.926	19	-1.5017652190984592	-5.009376226444256	1.5992541549277761	1IGW_D	7.0	7.505	0.27	8.33	0.493	4.764	9.268	1
42	0.975	3	-1.5017620148113713	-5.009348986575034	1.5929130303842474	5HGJ_B	8.0	7.825	0.057	8.5	3.137	5.713	8.598	1
43	0.967	32	-1.501741637607523	-5.009275389862097	1.5868546547245401	3IL7_B	4.6	6.773	0.318	5.6	0.538	4.45	8.836	1
44	0.877	681	-1.5016372636258395	-5.008674609779896	1.5814885674350656	7X7D_F	7.0	6.654	0.246	7.48	0.324	4.207	8.755	1
45	0.968	14	-1.501407859273605	-5.007164131277357	1.5770884362572335	3KUD_B	6.0	6.627	0.565	6.5	1.773	5.313	7.788	1
46	0.825	328	-1.5014387921503198	-5.007283018385008	1.5709026851974377	4I8G_A	7.0	6.805	0.06	7.0	0.96	4.152	8.537	1
47	0.983	3	-1.5013524838806773	-5.007012531849492	1.565916243369551	5J85_A	9.0	6.95	2.532	7.0	3.541	5.383	8.398	0
48	0.897	22	-1.501285282044609	-5.006611864648863	1.5606857118823645	5NNH_A	6.5	7.322	0.439	7.45	0.456	5.503	8.794	1
49	0.936	1	-1.5012830326624225	-5.006592843322615	1.5551099800648667	3AGX_B	6.0	6.15	0.137	5.5	3.226	5.153	8.438	1
50	0.971	4	-1.5013586092536864	-5.006808943584104	1.548866324672333	5YH8_A	3.5	6.7	0.07	8.5	2.769	3.359	8.578	1
51	0.947	7	-1.5012884030913374	-5.006612051575087	1.5442451112770934	5GJO_B	6.5	6.85	0.131	6.0	0.898	4.181	9.94	1
52	0.999	1	-1.5012884030913374	-5.006612051575087	1.538981825026864	4OKY_C	10.5	7.15	0.15	7.5	3.465	5.153	8.437	0
53	0.794	15	-1.5012540828996215	-5.006316436660066	1.5340635081976277	3DGE_D	5.6	6.206	0.017	7.0	1.276	4.576	8.468	1
54	0.992	31	-1.5012417152123831	-5.006224028836648	1.5290993697409931	4QR7_A	7.0	6.314	0.248	7.5	1.552	4.214	7.968	1
55	0.964	4	-1.5011597911258643	-5.005930040535895	1.5248912761516564	2P4D_A	6.5	6.68	0.069	7.0	2.428	3.923	8.088	1
56	0.969	9	-1.501064317187823	-5.005661323724838	1.5210438157702755	5TTK_D	8.3	7.22	0.147	9.0	2.082	4.225	9.068	1
57	0.966	2	-1.501064317187823	-5.005661323724838	1.5162454084967505	4ML7_D	5.6	6.633	0.103	8.5	2.375	4.526	8.578	1
58	0.775	3	-1.5016913986759235	-5.009639001044315	1.5069542550772959	3K4Z_A	8.5	7.325	0.182	7.0	1.454	5.713	8.698	1
