iteration	loss	n_p	w_0	w_1	c	ID	y	mean	mean_prob	mode	mode_prob	lb	ub	capture
0	0.666	19	-1.5000405176480958	-5.0002248579340325	1.998306001600533	1CY2_A	5.0	6.41	0.095	5.0	1.649	4.548	9.223	1
1	1.0	0	-1.5000405176480958	-5.0002248579340325	1.998306001600533	2XC6_A	5.5	6.8	0.311	6.8	0.311	4.693	8.908	1
2	0.816	114	-1.4999568465214255	-4.999816528386652	1.997383437845617	1LB3_A	7.4	7.53	0.427	7.0	0.456	4.759	9.841	1
3	0.937	12	-1.4998474619765376	-4.999369371969515	1.9966284169884874	2NZ2_A	7.0	8.036	0.368	8.5	0.483	5.425	9.622	1
4	0.999	0	-1.4998474619765376	-4.999369371969515	1.9966284169884874	3NEU_A	7.0	6.8	0.311	6.8	0.311	4.693	8.908	1
5	0.872	9	-1.4998408699152552	-4.9993800573377	1.9952689054719193	7EPW_A	5.6	7.52	0.091	8.6	1.385	5.422	9.507	1
6	0.773	34	-1.5000029796583467	-4.99982830755613	1.9924637212894225	2D09_A	6.5	7.069	0.187	6.5	0.921	4.327	9.993	1
7	0.885	310	-1.500005554986014	-4.999817674556422	1.9910238255900155	6ZED_AAA	6.5	7.399	0.745	7.5	1.602	5.527	8.56	1
8	0.867	18	-1.5002095867502645	-5.000798492843696	1.9883192123910005	3VTT_B	8.5	7.421	0.504	7.5	0.577	4.386	9.87	1
9	0.077	17	-1.500362663216462	-5.002113775470679	1.986080839438785	4IE5_A	5.6	5.689	2.412	5.6	4.441	5.473	5.908	1
10	0.488	75	-1.5005712598161558	-5.003665991774031	1.9835287747794719	1T4T_C	8.5	7.603	0.044	8.5	2.337	4.857	8.634	1
11	0.344	4	-1.5006850654779411	-5.004185936850232	1.98135077267151	3S3U_B	7.5	7.26	0.141	7.5	3.284	5.423	8.367	1
12	0.901	55	-1.5010019535688397	-5.005459942242746	1.9779505729653881	2QKF_D	4.6	6.264	0.162	7.5	1.677	4.032	7.658	1
13	0.375	8	-1.5011205107269892	-5.006473540419068	1.9759147346810955	4XZ3_D	8.3	8.267	2.126	8.3	2.361	6.633	8.768	1
14	0.525	27	-1.5015425758817373	-5.009664267705713	1.9722017087252366	4GD3_T	5.9	6.496	0.093	5.96	1.123	5.443	8.218	1
15	0.844	1	-1.5018616691100817	-5.010763992869186	1.968575602383745	3T90_A	7.5	7.15	0.319	7.22	0.319	5.043	9.171	1
16	0.443	10	-1.5018968750867807	-5.011061864816413	1.9670088069492238	5HZZ_D	7.5	6.982	0.448	7.5	2.795	5.893	7.628	1
17	0.846	263	-1.5018792546850206	-5.011050070800467	1.9657590981391988	3G3J_B	5.6	5.985	0.257	5.58	0.387	3.936	8.48	1
18	0.933	1	-1.5018792546850206	-5.011050070800467	1.9643898334716956	6FOC_H	7.5	6.65	0.503	6.5	2.836	5.153	8.438	1
19	1.0	0	-1.5018792546850206	-5.011050070800467	1.9643898334716956	6W3W_A	8.5	6.8	0.311	6.8	0.311	4.693	8.908	1
20	0.921	299	-1.5019089303420265	-5.011266260229675	1.962857661764205	5HEN_C	6.3	7.411	0.545	7.5	0.597	5.52	8.702	1
21	0.066	12	-1.5019543497667722	-5.011655144055645	1.9612461220477433	4L5C_F	6.5	6.523	4.665	6.5	4.886	6.343	6.678	1
22	0.72	3	-1.5019706870476404	-5.011794084420485	1.9597965275431668	2R0R_B	5.9	6.45	0.075	5.9	1.339	4.521	8.588	1
23	0.807	48	-1.502056026764053	-5.011937086963083	1.957780112457818	4J5W_D	7.0	7.116	0.357	8.0	0.704	4.851	8.879	1
24	0.718	8	-1.5021597545009002	-5.012219593145645	1.9555119380468569	6I43_B	7.0	7.422	0.465	7.0	1.337	5.008	10.03	1
25	0.9	4	-1.5023802889248505	-5.01313119119644	1.95273034053087	2J0E_B	7.5	5.96	0.161	4.5	0.275	3.762	8.468	1
26	0.967	99	-1.5021026936961306	-5.011142194120341	1.9529423856593928	3I8V_B	8.0	7.209	0.408	7.48	1.458	5.514	8.541	1
27	0.971	2	-1.5021026936961306	-5.011142194120341	1.9515987441806733	5B3V_D	8.2	7.1	0.537	7.25	3.756	5.463	8.128	0
28	0.949	1	-1.5021026936961306	-5.011142194120341	1.9502577935965	1E44_B	5.6	6.65	0.543	6.5	2.739	5.153	8.438	1
29	0.848	7	-1.5020329860992936	-5.01090497902553	1.9494047745619212	2ZKM_X	8.5	6.756	0.331	8.5	0.73	5.083	8.568	1
30	0.622	2	-1.5020456838812928	-5.011014221587047	1.9479984001570478	2V3J_A	7.5	6.933	0.103	6.5	1.902	5.463	8.128	1
31	0.929	4	-1.5017203994336257	-5.009155008141814	1.9485577826171123	6Q6P_B	8.5	6.97	0.151	6.51	0.302	4.109	9.428	1
32	0.951	71	-1.5016921839445703	-5.008969506925827	1.9473831758777653	6CPG_E	5.5	6.9	0.309	6.49	0.535	4.558	8.836	1
33	0.942	10	-1.501876168883373	-5.0100026082276266	1.944975431876592	3PL7_C	8.0	5.9	0.149	4.01	0.972	3.942	8.088	1
34	0.609	16	-1.5019267678454769	-5.01032982357248	1.9433690644508619	4ZAX_A	7.2	6.5	0.381	7.2	1.987	4.922	7.568	1
35	0.808	55	-1.5021583309849598	-5.011539541887691	1.9406027289419356	1ZLZ_B	8.5	7.466	0.225	8.5	0.613	5.176	9.315	1
36	0.603	62	-1.5022633816509217	-5.012406779206372	1.93869301879468	2ZRE_A	6.9	6.627	0.057	6.91	1.791	5.561	7.599	1
37	1.0	0	-1.5022633816509217	-5.012406779206372	1.93869301879468	4RVQ_A	8.5	6.8	0.311	6.8	0.311	4.693	8.908	1
38	0.707	102	-1.5022437224462042	-5.012344659304837	1.937494848475781	6NFD_A	7.0	6.867	0.345	7.02	0.961	4.56	8.843	1
39	0.995	6	-1.5022317595609553	-5.0122417491368285	1.9362482763955884	5FNY_B	9.0	7.971	0.029	8.5	3.125	6.303	8.608	0
40	0.322	8	-1.5022531163307116	-5.012426107715764	1.934819806292334	3B2J_A	8.0	7.467	0.03	8.0	3.699	5.483	8.118	1
41	0.976	3	-1.5022531163307116	-5.012426107715764	1.9335124118422164	1M1L_D	5.5	7.325	0.825	7.5	2.822	5.713	7.878	0
42	0.891	4	-1.5023616224229874	-5.01273562152653	1.9313797052653319	5XTY_B	7.5	7.26	0.231	7.0	1.289	5.353	9.533	1
43	1.0	0	-1.5023616224229874	-5.01273562152653	1.9313797052653319	1CXY_A	5.6	6.8	0.311	6.8	0.311	4.693	8.908	1
44	0.954	74	-1.5022802541925817	-5.012389864122209	1.9306243909936587	6YZ0_A	7.0	5.99	0.155	8.0	0.73	3.945	8.129	1
45	1.0	0	-1.5022802541925817	-5.012389864122209	1.9306243909936587	7PRR_B	4.6	6.8	0.311	6.8	0.311	4.693	8.908	0
46	0.93	7	-1.5023396983733115	-5.0126074117	1.9288853206807826	6JD9_A	7.5	6.125	0.119	5.6	1.393	4.689	8.181	1
47	0.999	0	-1.5023396983733115	-5.0126074117	1.9288853206807826	6Q67_B	7.5	6.8	0.311	6.8	0.311	4.693	8.908	1
48	0.879	145	-1.502342251235953	-5.012586020749108	1.9275580947503088	4LI8_B	5.8	7.357	0.269	8.5	0.812	4.978	8.98	1
49	0.929	72	-1.5022230919736865	-5.01219340015034	1.9271563090786057	1UES_D	5.8	7.644	0.27	7.8	0.335	5.217	10.073	1
50	1.0	0	-1.5022230919736865	-5.01219340015034	1.9271563090786057	3N6Z_A	9.0	6.8	0.311	6.8	0.311	4.693	8.908	0
51	0.999	0	-1.5022230919736865	-5.01219340015034	1.9271563090786057	6HRK_D	6.0	6.8	0.311	6.8	0.311	4.693	8.908	1
52	0.737	7	-1.5022294738980888	-5.012248320655596	1.9258287423365188	4HZP_A	8.0	7.225	0.056	7.0	2.082	6.363	8.078	1
53	0.668	22	-1.502289894000253	-5.0124942813804125	1.9240871258627386	6GFH_B	6.5	6.263	0.068	5.9	1.71	4.934	8.026	1
54	0.047	17	-1.50232284632812	-5.012777454850318	1.9226175814254791	1KIY_B	6.9	6.894	5.153	6.9	5.167	6.753	7.038	1
55	0.288	14	-1.5023261713915053	-5.012610975859433	1.92110884846583	6TE3_A	7.8	7.687	1.177	7.8	3.745	5.539	9.39	1
56	0.255	18	-1.5025119138405079	-5.013952940564309	1.9186721473162331	7LOM_C	7.8	7.605	0.122	7.81	3.355	5.876	8.467	1
57	0.999	0	-1.5025119138405079	-5.013952940564309	1.9186721473162331	3PL5_A	6.5	6.8	0.311	6.8	0.311	4.693	8.908	1
58	0.801	14	-1.5029797757768164	-5.016906590084134	1.9145954972601424	7T29_A	8.5	7.0	0.12	6.5	0.494	4.041	8.896	1
59	0.948	2	-1.5029797757768164	-5.016906590084134	1.9133285631345358	3WOD_H	6.7	6.8	0.104	5.6	1.809	5.413	8.178	1
60	0.496	589	-1.5031691519248092	-5.01849955473624	1.9110011534190607	6RZX_A	7.8	7.946	1.116	7.8	1.66	6.126	9.045	1
61	0.225	3	-1.5031880223795429	-5.018662773336231	1.9096354892646201	3KP0_H	8.0	7.7	0.061	8.0	4.28	5.713	8.148	1
62	0.846	3	-1.503320010026994	-5.019410871578029	1.9075984506325945	1NH9_A	8.25	7.575	0.089	8.62	0.407	5.373	9.482	1
63	0.946	5	-1.5030516070384283	-5.017940869177973	1.9079596204547709	3OLZ_B	6.8	7.583	0.33	8.02	0.487	5.623	9.192	1
64	0.875	53	-1.502998197091308	-5.017715597624986	1.907053596853426	2X9V_D	7.5	5.561	0.144	5.0	1.583	4.449	7.538	1
