iteration	loss	n_p	w_0	w_1	c	ID	y	mean	mean_prob	mode	mode_prob	lb	ub	capture
0	0.842	4	-1.5004408358449708	-5.003671493295188	1.98325841236569	6MAV_B	5.5	6.56	1.543	6.5	1.988	5.393	7.708	1
1	1.0	0	-1.5004408358449708	-5.003671493295188	1.98325841236569	6EU8_A	7.5	6.8	0.311	6.8	0.311	4.693	8.908	1
2	0.943	198	-1.5005840292684025	-5.004751232775389	1.9684229226584873	4HZH_B	8.5	7.082	0.351	7.46	0.656	4.575	8.79	1
3	0.971	8	-1.5006531291939273	-5.00498539514003	1.954185529548192	6AG5_A	7.0	5.933	0.102	4.2	1.694	4.11	8.454	1
4	0.991	172	-1.5006784503231756	-5.005198289297467	1.9405849432850393	6T1K_A	9.5	5.082	0.048	4.0	1.155	2.067	8.443	0
5	0.889	7	-1.5008152402408388	-5.005932339998098	1.9265682435157134	1XA7_B	6.6	6.75	0.245	6.5	0.881	4.663	8.538	1
6	0.405	6	-1.502306912123518	-5.018699863429485	1.9053660324357773	6OWX_B	8.0	7.343	0.041	8.0	3.855	4.553	8.128	1
7	1.0	0	-1.502306912123518	-5.018699863429485	1.9053660324357773	4F7U_Q	7.0	6.8	0.311	6.8	0.311	4.693	8.908	1
8	0.969	1	-1.5023069112811207	-5.018699856167786	1.8928812831378279	7B7P_B	7.0	6.65	0.46	6.5	2.948	5.153	8.438	1
9	0.951	14	-1.5023264879944211	-5.018905547083028	1.8805293123461562	1WWK_B	5.7	6.94	0.238	5.58	0.259	4.636	9.144	1
10	0.856	6	-1.5025489717899798	-5.020975116891572	1.867255344351391	5JIL_A	7.5	6.143	0.06	3.6	1.007	3.483	9.31	1
11	0.935	141	-1.502687027368527	-5.021968273591781	1.8547276604925464	2ZGG_A	7.5	6.628	0.629	6.53	0.748	4.584	8.518	1
12	0.879	3	-1.5031607905376865	-5.024150283175066	1.840170811788557	4N6D_A	7.5	7.325	0.582	7.48	0.604	5.703	8.498	1
13	0.987	1	-1.5031607905376865	-5.024150283175066	1.828989763713393	3S52_D	8.5	6.0	0.131	5.2	0.904	4.783	8.438	0
14	0.73	6	-1.5037720757908655	-5.0292340892401	1.8143881188454585	3WBQ_B	8.0	7.871	0.457	8.0	1.724	6.203	8.914	1
15	1.0	0	-1.5037720757908655	-5.0292340892401	1.8143881188454585	2P3H_A	6.5	6.8	0.311	6.8	0.311	4.693	8.908	1
16	0.983	8	-1.5037838272995232	-5.0292871421301895	1.8036440638146438	1RXD_C	7.0	5.633	0.023	4.8	1.962	4.537	7.878	1
17	0.701	13	-1.5045712800009374	-5.035935685773439	1.788500848467144	5FFS_A	6.0	6.557	1.488	6.5	2.092	5.893	7.578	1
18	0.942	1514	-1.50472484853362	-5.037014032574387	1.7773706583530482	6E3H_L	7.0	6.758	0.141	7.5	0.476	4.063	9.18	1
19	1.0	0	-1.50472484853362	-5.037014032574387	1.7773706583530482	5YHI_B	9.5	6.8	0.311	6.8	0.311	4.693	8.907	0
20	1.0	0	-1.50472484853362	-5.037014032574387	1.7773706583530482	1TE2_B	6.2	6.8	0.311	6.8	0.311	4.693	8.908	1
21	0.947	16	-1.5048415066101424	-5.038020718664043	1.7667406359367688	5HRX_B	8.5	7.106	0.473	7.5	2.158	5.623	8.937	1
22	0.74	66	-1.5053750216379191	-5.042526416323204	1.753774064318854	4XO5_A	7.0	7.363	0.233	7.0	1.75	5.816	9.724	1
23	0.613	44	-1.5060898712111477	-5.048929134588686	1.7399488570262611	2IM1_A	7.0	7.2	0.26	7.0	2.665	5.569	8.318	1
24	0.969	13	-1.5060504828132897	-5.0487267650557355	1.7310320325036987	1GZ5_D	7.5	8.164	0.219	8.0	1.06	5.943	10.334	1
25	0.942	1	-1.505749081220054	-5.0470011862623805	1.724012499930404	3Q98_A	7.5	7.4	0.215	7.99	0.804	5.153	8.588	1
26	0.642	89	-1.5065101680341353	-5.053365614852473	1.7103751435714802	6RZJ_A	7.5	7.414	1.175	7.5	2.448	5.545	8.8	1
27	0.835	10	-1.5068630446005122	-5.056408784378421	1.6995706550375427	4DOF_D	8.0	7.282	1.696	7.49	1.921	5.573	8.048	1
28	0.957	1	-1.50676994403808	-5.056023989754608	1.691894347234295	6JO0_A	5.5	5.7	0.183	4.67	0.339	3.712	8.438	1
29	0.987	1	-1.50676994403808	-5.056023989754608	1.6836788284502162	4EEW_B	8.5	6.2	0.14	5.6	3.347	5.153	8.438	0
30	0.527	1	-1.5076797284949868	-5.063928755385891	1.669816433481052	3Q17_B	8.0	7.4	0.14	8.0	3.404	5.153	8.438	1
31	0.971	3	-1.507635890911487	-5.063713764840522	1.662359183519116	1VE2_B	6.5	5.8	0.471	5.41	0.746	4.65	7.888	1
32	0.992	4	-1.5076358489104373	-5.0637135053144755	1.6547347651844684	6DD6_A	5.6	6.76	0.064	6.0	2.707	5.853	8.982	0
33	0.957	12	-1.5076396124870066	-5.063746049113592	1.6472381189354335	6NNQ_B	7.5	7.0	0.024	8.0	2.044	4.22	9.38	1
34	0.863	5	-1.508064092156341	-5.0671795684059235	1.6371276237658536	4JNV_D	5.3	5.658	0.035	3.9	1.082	3.752	7.748	1
35	0.986	2	-1.5079670500907354	-5.06671286604568	1.6307149170177273	2YCB_B	5.2	6.333	0.097	7.97	0.37	3.729	8.628	1
36	0.973	937	-1.507962271081055	-5.066691817436097	1.6237484243554816	7B3V_A	5.5	7.03	0.292	7.5	0.355	4.46	9.41	1
37	0.895	5	-1.5084458554337379	-5.068818352843976	1.6132246827352978	5HOD_D	8.0	7.267	0.246	7.99	0.521	4.576	8.834	1
38	0.687	8	-1.5090291422400834	-5.073888188220192	1.6026887751642809	1FEE_B	6.5	6.589	0.736	6.5	2.342	5.913	8.028	1
