condition	w_0_bin	w_1_bin	w_10_cont	w_11_cont	w_20_cont	w_21_cont
method	-11.369555410341842	9.215750626699256				
p_h			-0.65352397185639	-2.639682762982517		
temp			-0.8295780261155645	-3.666466552948182		
2-mercaptoethanol (m)	1.5980394373100357	3.91865266013116	-0.10395406593686797	-0.30729817836850526		
acetate (m)	1.0768622959142367	4.01245297239994	-0.3877168205776086	-1.1796020838226176		
adenosine triphosphate (m)	2.152193596536822	3.9821490828395074	-0.48885299689141337	-1.0165644584008493		
adp (m)	0.516580322534869	3.5946154737945153	-0.6073842684561757	-1.2660009585613763		
ammonium acetate (m)	2.638027170673454	4.474332031867363	-0.010480754773210966	-0.15160798670983722		
ammonium chloride (m)	0.1707605609483323	3.8429618365713107	-0.3710855152751512	-0.784836081260601		
ammonium citrate (m)	2.221525579455262	4.15355615149714	-0.2773053078515263	-0.6370416579413709		
ammonium formate (m)	-0.6600443455430997	3.181599974753965	-0.579757545372898	-1.2779342947604282		
ammonium iodide (m)	-4.139913047342503	2.5755421093621345	-0.7692722831496435	-1.8798453463941327		
ammonium nitrate (m)	1.3989190977068084	3.783650317473507	-0.5322622515179195	-1.1206236099436355		
ammonium phosphate (m)	1.4674833519750978	4.048578051200522	-0.20374333557984647	-0.5452039126015328		
ammonium sulfate (m)	3.212395786624374	4.730405650905244	-0.005996103215588527	-0.11404836899777421		
ammonium tartrate (m)	1.742621466536335	4.050494506553608	-0.6455895558196176	-1.3811277420605803		
azodicarbonamide (m)	-2.423057569106204	2.794396078968401	-0.6040462442162988	-1.560262899765124		
bicine (m)	1.6740187533125934	4.209630692363064	-0.43324231611542113	-1.4916572109529023		
bis tris (m)	3.6051880472423123	4.767260606420618	-0.020929079494330153	-0.2197435646270031		
bis tris propane (m)	3.0356028854806936	4.575355262802032	-0.04724521412760608	-0.31344536011720214		
cacodylate (m)	2.072445531615808	3.894323829170303	-0.5062422429542354	-1.725301453744747		
cadmium chloride (m)	1.7846290161758378	4.059432750085403	-0.39958649345173414	-0.8487683569955603		
calcium acetate (m)	2.6729488668347297	4.507580339629306	-0.09454633554528548	-0.4465615900888205		
calcium chloride (m)	2.740183783924925	4.425799020229695	-0.003240513047630066	-0.08224474529157015		
caps (m)	-0.8912895779650823	3.6368410596480345	-0.7615451276389439	-1.8053119149261585		
ches (m)	2.1828435111250775	4.180572407212497	-0.5679185668902333	-1.6767905838639232		
citrate (m)	1.819436394634656	4.030615207012965	-0.2913959039468573	-0.9912619756001715		
citric acid (m)	1.674165303776472	3.9718836453591093	-0.3834038524622356	-1.2459178693808963		
cobalt chloride (m)	-0.07272289339734295	3.33970545857116	-0.5970360158811041	-1.2690394535512046		
dimethyl sulfoxide (%)	-0.9596029183718028	3.353212278932135	-0.07696913315417792	-0.24068788975146405		
dioxane (%)	2.4815455918443465	4.193335047201426	-0.2368829399503984	-0.6061355246286233		
dithiothreitol (m)	2.217559755017808	4.312755932960525	-0.00013858616858310497	-0.01629319079317135		
ethanol (%)	2.540524615007212	4.294565530837622	-0.23664875410781347	-0.5777029499179676		
ethylene glycol (%)	2.764653181518942	4.450677488194565	-0.01710049129088608	-0.1755346989352661		
ethylenediaminetetraacetic acid (m)	2.2996387999087453	4.185773323763988	-0.03976694188775994	-0.09840254070898798		
glycerol (%)	3.246041823191837	4.555456347831481	-0.008971318061404658	-0.14082572836228224		
glycine (m)	0.4867523188071087	3.867412266285813	-0.4091687925192059	-0.9243719271423764		
hepes (m)	2.968298663031765	4.671950218347462	-0.012796603370793306	-0.16901223195939089		
hexanediol (m)	0.17777380344488708	3.9224840084467476	-0.7272847616128117	-1.5184811751640517		
imidazole (m)	2.3572770343261067	4.361183893070039	-0.023635817069797862	-0.17288618788796278		
inhibitor (m)	-1.6641892507573277	3.3268731662016675	-0.402685658642445	-0.8442564715662991		
isopropanol (%)	2.6650980931326127	4.383316348929514	-0.009528630951040857	-0.13609565540277405		
jeffamine ed-2001 (%)	-0.913924130423981	2.1820703761289164	-0.7635742271466086	-1.6552777682938726		
