condition	w_0_bin	w_1_bin	w_10_cont	w_11_cont	w_20_cont	w_21_cont
method	-11.340771935563154	9.242851918119111				
p_h			-0.9464135178556214	-4.2718689575391595		
temp			-1.2525431380639775	-5.183610127890044		
2-mercaptoethanol (m)	1.6078791835982142	3.9001915731471426	-1.062725242743074	-3.107493798003026		
acetate (m)	1.064532422982866	4.004633194985546	-1.2121119254986088	-3.7882967187893595		
adenosine triphosphate (m)	2.1640457060249907	3.9629594127070327	-0.9539993911871345	-1.9932491778100956		
adp (m)	0.5395215216997821	3.6134978128402504	-0.9739730149486933	-2.031444588485949		
ammonium acetate (m)	2.634309469734388	4.4989881995490855	-1.0793686892372634	-5.263075886525763		
ammonium chloride (m)	0.13331531629448343	3.8202383928195447	-0.9383261160194853	-1.9969517873159188		
ammonium citrate (m)	2.2300707000757485	4.163712824944714	-0.9620740722401065	-2.2274228006846823		
ammonium formate (m)	-0.5542912597129918	3.211717723196901	-1.0073236313938163	-2.245045188520634		
ammonium iodide (m)	-4.124925715290477	2.4291238838764944	-1.0553269021574798	-2.450414036064519		
ammonium nitrate (m)	1.398792034937261	3.7863850454571777	-0.9677090551757683	-2.046019253140278		
ammonium phosphate (m)	1.451823586872177	4.03980902991844	-1.0467148023901713	-2.8364870689347166		
ammonium sulfate (m)	3.2404642604383085	4.752238172249871	-0.8443117601290978	-3.9783385565534886		
ammonium tartrate (m)	1.7427485416555162	4.039670020330112	-0.9979103844825383	-2.147501952832033		
azodicarbonamide (m)	-2.357248862378267	2.8183586230924007	-1.1249149282364568	-2.955143825937871		
bicine (m)	1.661065203689164	4.173420605078694	-1.0926670642776728	-3.0878917833557242		
bis tris (m)	3.6101761432981196	4.765329070155506	-1.0483084429260443	-4.484331831160846		
bis tris propane (m)	3.037189295882803	4.568559869443683	-1.1365571410786288	-4.4114543528284065		
cacodylate (m)	2.0776406683263455	3.8655392792275074	-1.085656325993961	-2.9967188611645943		
cadmium chloride (m)	1.7771425302721255	4.0429162865885235	-0.951791754725158	-2.045756290029084		
calcium acetate (m)	2.6964860975241596	4.479291182328862	-1.1296289883084605	-4.007040363759099		
